"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "XML", "MS SQL", "TypeScript", "PostCSS", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\software\vscode\code\JavaScript\forum4\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32
"c:\software\vscode\code\JavaScript\forum4\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\software\vscode\code\JavaScript\forum4\next.config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 8, 2, 26
"c:\software\vscode\code\JavaScript\forum4\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 3, 8
"c:\software\vscode\code\JavaScript\forum4\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 9978, 0, 1, 9979
"c:\software\vscode\code\JavaScript\forum4\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 1, 60
"c:\software\vscode\code\JavaScript\forum4\postcss.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250424130915_init\migration.sql", "MS SQL", 0, 0, 0, 0, 37, 0, 0, 0, 0, 7, 7, 51
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250424143933_add_user_profile_fields\migration.sql", "MS SQL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250508090138_add_admin_role\migration.sql", "MS SQL", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 1, 23
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250508093037_add_credit_score\migration.sql", "MS SQL", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 1, 25
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250508111220_add_violation_tracking\migration.sql", "MS SQL", 0, 0, 0, 0, 55, 0, 0, 0, 0, 5, 5, 65
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250508114258_add_inbox_and_edit_count\migration.sql", "MS SQL", 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 2, 35
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250508114453_add_comment_edit_count\migration.sql", "MS SQL", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 1, 21
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250514050557_add_comment_replies\migration.sql", "MS SQL", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 1, 23
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250528091458_add_ai_moderation_config\migration.sql", "MS SQL", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250528092711_add_qa_features\migration.sql", "MS SQL", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 3, 29
"c:\software\vscode\code\JavaScript\forum4\prisma\migrations\20250528100930_add_announcement_model\migration.sql", "MS SQL", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 2, 33
"c:\software\vscode\code\JavaScript\forum4\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\software\vscode\code\JavaScript\forum4\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\software\vscode\code\JavaScript\forum4\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\software\vscode\code\JavaScript\forum4\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\software\vscode\code\JavaScript\forum4\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\software\vscode\code\JavaScript\forum4\scripts\create-ai-config.mjs", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 8, 48
"c:\software\vscode\code\JavaScript\forum4\scripts\list-users.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\software\vscode\code\JavaScript\forum4\scripts\prepare-production.mjs", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 9, 14, 92
"c:\software\vscode\code\JavaScript\forum4\src\app\admin-check\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 2, 6, 45
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\ai-moderation\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 202, 0, 4, 27, 233
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\categories\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 266, 0, 2, 27, 295
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\comments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\knowledge-base\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 330, 0, 8, 34, 372
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 4, 28
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 21, 166
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 203, 0, 7, 11, 221
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\posts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\software\vscode\code\JavaScript\forum4\src\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\software\vscode\code\JavaScript\forum4\src\app\api\admin\ai-moderation\route.ts", "TypeScript", 0, 0, 0, 0, 0, 96, 0, 0, 0, 11, 14, 121
"c:\software\vscode\code\JavaScript\forum4\src\app\api\admin\categories\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 111, 0, 0, 0, 13, 18, 142
"c:\software\vscode\code\JavaScript\forum4\src\app\api\admin\categories\route.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 8, 67
"c:\software\vscode\code\JavaScript\forum4\src\app\api\admin\comments\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 4, 8, 64
"c:\software\vscode\code\JavaScript\forum4\src\app\api\admin\comments\[id]\violation\route.ts", "TypeScript", 0, 0, 0, 0, 0, 159, 0, 0, 0, 18, 26, 203
"c:\software\vscode\code\JavaScript\forum4\src\app\api\admin\knowledge-base\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 156, 0, 0, 0, 14, 23, 193
"c:\software\vscode\code\JavaScript\forum4\src\app\api\admin\knowledge-base\route.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 10, 13, 110
